UNRATE	HOUSE	DURATION	SAVINGS
7	1971	14,9	9,8
7,2	1893	14,4	10,2
6,9	2058	14,3	10,1
7	2020	13,9	10,5
6,8	1949	14	10,7
6,8	2042	13,7	10,7
6,8	2042	13,6	10,8
6,4	2142	13,6	11
6,4	1718	12,9	11,4
6,3	1738	12,5	10,7
6,3	2032	12,4	10,5
6,1	2197	12,3	10,3
6	2075	12,1	9,8
5,9	2070	12,1	9,5
6,2	2092	12	10,3
5,9	1996	11,4	9,9
6	1970	11,4	10
5,8	1981	11,7	10,2
5,9	2094	11,1	10
6	2044	10,6	10
5,9	1630	11,1	10,6
5,9	1520	11,2	10,5
5,8	1847	11,7	10,7
5,8	1748	11	10,4
5,6	1876	11,1	9,8
5,7	1913	10,4	9,3
5,7	1760	10,3	10
6	1778	10,6	9,2
5,9	1832	10,5	8,9
6	1681	10,5	9,3
5,9	1524	10,6	9,4
6	1498	10,8	9,8
6,3	1341	10,4	9,6
6,3	1350	10,6	9,8
6,3	1047	11	9,8
6,9	1051	11,4	10,5
7,5	927	10,9	10,6
7,6	1196	11,3	10,4
7,8	1269	11,8	10,5
7,7	1436	12,4	10,6
7,5	1471	12,9	11,1
7,5	1523	13,1	11
7,5	1510	13,6	11,5
7,2	1482	13,7	11,2
7,5	1547	14,3	10,5
7,4	1246	14,1	10,4
7,4	1306	14	10,3
7,2	1360	13,9	10,3
7,5	1140	13,6	10,4
7,5	1045	13,7	10,2
7,2	1041	13,8	11,7
7,4	940	14,4	11,4
7,6	911	13,6	11,9
7,9	873	13,5	12,5
8,3	837	13,1	12,7
8,5	910	13,1	12
8,6	843	13,4	12,2
8,9	866	14,1	11,6
9	931	14,1	11,7
9,3	917	14,5	12,4
9,4	1025	14,9	11,7
9,6	902	15,7	11,6
9,8	1166	15,4	12
9,8	1046	16,2	11,9
10,1	1144	16,6	11,1
10,4	1173	17,2	10,7
10,8	1372	17,1	10,3
10,8	1303	18,1	10,3
10,4	1586	19,4	10,4
10,4	1699	19,2	10,5
10,3	1606	19,4	10
10,2	1472	19,5	9,6
10,1	1776	20,5	9,4
10,1	1733	20,8	8,5
9,4	1785	21,2	9
9,5	1910	20	8,7
9,2	1710	20,2	9
8,8	1715	20,2	9,1
8,5	1785	19,7	9,7
8,3	1688	19,2	9,5
8	1897	20,4	9,4
7,8	2260	19	11,1
7,8	1663	19,1	10,9
7,7	1851	18,9	10,9
7,4	1774	18,8	10,5
7,2	1843	18,1	10,5
7,5	1732	18	11
7,5	1586	17,3	11,2
7,3	1698	17	11,2
7,4	1590	16,7	11,2
7,2	1689	17	10,3
7,3	1612	16,8	10,6
7,3	1711	15,9	9,7
7,2	1632	15,9	8,5
7,2	1800	16,1	8,1
7,3	1821	16,4	9,4
7,2	1680	15,3	10,5
7,4	1676	15,5	9
7,4	1684	15,5	8,5
7,1	1743	15,3	7,5
7,1	1676	15,3	6,7
7,1	1834	15,3	8,5
7	1698	15,7	8,4
7	1942	15,1	8
6,7	1972	14,8	8
7,2	1848	15,2	8,7
7,2	1876	14,6	9,3
7,1	1933	14,7	9,1
7,2	1854	14,7	8,6
7,2	1847	15,2	8,8
7	1782	15,2	8,7
6,9	1807	15,5	8,4
7	1687	15,4	6,6
7	1681	15,2	7,8
6,9	1623	15	8,2
6,6	1833	15	6,4
